,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,avg_ndvi,avg_ndvi_lower,avg_ndvi_upper,avg_reanalysis,avg_reanalysis_lower,avg_reanalysis_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-07-02,8.03967280195254,-8.860884899675472,16.086222989897056,8.03967280195254,8.03967280195254,-4.344463504096817,-4.344463504096817,-4.344463504096817,0.015137991472308125,0.015137991472308125,0.015137991472308125,-0.15654758374015176,-0.15654758374015176,-0.15654758374015176,-0.14140959226784364,-0.14140959226784364,-0.14140959226784364,-4.203053911828974,-4.203053911828974,-4.203053911828974,0.0,0.0,0.0,3.6952092978557225
1,2010-07-09,8.024508534530089,-8.368352732023194,17.247287937549864,8.024508534530089,8.024508534530089,-3.6591140520086127,-3.6591140520086127,-3.6591140520086127,-0.009354004728488113,-0.009354004728488113,-0.009354004728488113,0.0018705893611343511,0.0018705893611343511,0.0018705893611343511,-0.007483415367353761,-0.007483415367353761,-0.007483415367353761,-3.6516306366412588,-3.6516306366412588,-3.6516306366412588,0.0,0.0,0.0,4.365394482521475
2,2010-07-16,8.009344267107641,-8.140669624718617,16.15875735519595,8.009344267107641,8.009344267107641,-3.360367729103744,-3.360367729103744,-3.360367729103744,-0.0011380000330617035,-0.0011380000330617035,-0.0011380000330617035,0.015272787673874003,0.015272787673874003,0.015272787673874003,0.0141347876408123,0.0141347876408123,0.0141347876408123,-3.3745025167445566,-3.3745025167445566,-3.3745025167445566,0.0,0.0,0.0,4.648976538003897
3,2010-07-23,7.99417999968519,-6.863432092424219,17.860627399339474,7.99417999968519,7.99417999968519,-2.7772408440563794,-2.7772408440563794,-2.7772408440563794,0.031585325758922894,0.031585325758922894,0.031585325758922894,0.7877838783418026,0.7877838783418026,0.7877838783418026,0.8193692041007256,0.8193692041007256,0.8193692041007256,-3.596610048157105,-3.596610048157105,-3.596610048157105,0.0,0.0,0.0,5.21693915562881
4,2010-07-30,7.97901573226274,-8.461942544406963,16.495241839276847,7.9784395813101785,7.979386340122133,-3.769737886565767,-3.769737886565767,-3.769737886565767,-0.006315580595124941,-0.006315580595124941,-0.006315580595124941,0.10626115005152975,0.10626115005152975,0.10626115005152975,0.0999455694564048,0.0999455694564048,0.0999455694564048,-3.8696834560221722,-3.8696834560221722,-3.8696834560221722,0.0,0.0,0.0,4.209277845696972
5,2010-08-06,7.963851464840291,-7.96970424406685,14.822693027861378,7.962652784728308,7.964694319584315,-4.054956000734927,-4.054956000734927,-4.054956000734927,-0.014568963433809536,-0.014568963433809536,-0.014568963433809536,-0.35150768816132244,-0.35150768816132244,-0.35150768816132244,-0.366076651595132,-0.366076651595132,-0.366076651595132,-3.6888793491397944,-3.6888793491397944,-3.6888793491397944,0.0,0.0,0.0,3.908895464105364
6,2010-08-13,7.948687197417841,-7.412082246121522,16.715504312355755,7.946085843218398,7.951190285280013,-3.1246938806558653,-3.1246938806558653,-3.1246938806558653,-0.019458065557831073,-0.019458065557831073,-0.019458065557831073,0.06259930063520618,0.06259930063520618,0.06259930063520618,0.04314123507737509,0.04314123507737509,0.04314123507737509,-3.16783511573324,-3.16783511573324,-3.16783511573324,0.0,0.0,0.0,4.8239933167619755
7,2010-08-20,7.933522929995393,-8.415253581294092,17.440792793217256,7.929464692923481,7.937176304328801,-3.16578325635512,-3.16578325635512,-3.16578325635512,0.0032894250704511127,0.0032894250704511127,0.0032894250704511127,-0.3213527418477267,-0.3213527418477267,-0.3213527418477267,-0.31806331677727556,-0.31806331677727556,-0.31806331677727556,-2.847719939577844,-2.847719939577844,-2.847719939577844,0.0,0.0,0.0,4.767739673640273
8,2010-08-27,7.918358662572943,-7.778015497247382,16.653684167631464,7.912993939897926,7.924242549410975,-3.2979758235719543,-3.2979758235719543,-3.2979758235719543,-0.013649574535618932,-0.013649574535618932,-0.013649574535618932,-0.39181898796279296,-0.39181898796279296,-0.39181898796279296,-0.4054685624984119,-0.4054685624984119,-0.4054685624984119,-2.8925072610735425,-2.8925072610735425,-2.8925072610735425,0.0,0.0,0.0,4.620382839000989
9,2010-09-03,7.903194395150492,-8.055618974249874,16.903072284505882,7.895545966550613,7.910649457896235,-3.477236167916724,-3.477236167916724,-3.477236167916724,-0.015268587150301226,-0.015268587150301226,-0.015268587150301226,-0.6753592473771254,-0.6753592473771254,-0.6753592473771254,-0.6906278345274266,-0.6906278345274266,-0.6906278345274266,-2.7866083333892973,-2.7866083333892973,-2.7866083333892973,0.0,0.0,0.0,4.425958227233767
10,2010-09-10,7.888030127728042,-6.6558404082114055,18.01783063403591,7.8780176787332055,7.897452566177842,-2.1889908893409222,-2.1889908893409222,-2.1889908893409222,0.026111695814232994,0.026111695814232994,0.026111695814232994,-0.2212550726360186,-0.2212550726360186,-0.2212550726360186,-0.19514337682178562,-0.19514337682178562,-0.19514337682178562,-1.9938475125191364,-1.9938475125191364,-1.9938475125191364,0.0,0.0,0.0,5.69903923838712
11,2010-09-17,7.872865860305592,-5.64233983588291,19.023621865482003,7.860637751456889,7.884755807304963,-1.358687020017717,-1.358687020017717,-1.358687020017717,-0.0021967360599946376,-0.0021967360599946376,-0.0021967360599946376,-0.653266561023824,-0.653266561023824,-0.653266561023824,-0.6554632970838186,-0.6554632970838186,-0.6554632970838186,-0.7032237229338986,-0.7032237229338986,-0.7032237229338986,0.0,0.0,0.0,6.514178840287875
