,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,avg_ndvi,avg_ndvi_lower,avg_ndvi_upper,avg_reanalysis,avg_reanalysis_lower,avg_reanalysis_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2008-04-29,31.994144305718628,-22.571523163292092,32.788814659636785,31.994144305718628,31.994144305718628,-0.011626334044068638,-0.011626334044068638,-0.011626334044068638,-0.09523582976995083,-0.09523582976995083,-0.09523582976995083,-0.10686216381401947,-0.10686216381401947,-0.10686216381401947,-0.8296848102816788,-0.8296848102816788,-0.8296848102816788,-0.7228226464676594,-0.7228226464676594,-0.7228226464676594,0.0,0.0,0.0,5.449088757303812
1,2008-05-06,32.08642328385198,-21.315930733877522,31.78066676736768,32.08642328385198,32.08642328385198,-0.012831357974561317,-0.012831357974561317,-0.012831357974561317,-0.0995042064941966,-0.0995042064941966,-0.0995042064941966,-0.11233556446875792,-0.11233556446875792,-0.11233556446875792,-0.8474822661225934,-0.8474822661225934,-0.8474822661225934,-0.7351467016538354,-0.7351467016538354,-0.7351467016538354,0.0,0.0,0.0,4.89374856748436
2,2008-05-13,32.178702261985315,-20.40078218324945,35.97038725312317,32.178702261985315,32.178702261985315,-0.008907632297538366,-0.008907632297538366,-0.008907632297538366,0.01496589691621871,0.01496589691621871,0.01496589691621871,0.006058264618680344,0.006058264618680344,0.006058264618680344,-0.7252164895218949,-0.7252164895218949,-0.7252164895218949,-0.7312747541405753,-0.7312747541405753,-0.7312747541405753,0.0,0.0,0.0,8.842176770178067
3,2008-05-20,32.27098124011865,-17.686016598274037,37.144875696669175,32.27098124011865,32.27098124011865,-0.008910038491144648,-0.008910038491144648,-0.008910038491144648,0.04514633849221339,0.04514633849221339,0.04514633849221339,0.03623630000106874,0.03623630000106874,0.03623630000106874,-0.7149842881311629,-0.7149842881311629,-0.7149842881311629,-0.7512205881322316,-0.7512205881322316,-0.7512205881322316,0.0,0.0,0.0,9.197736690858305
4,2008-05-27,32.363260218252,-20.586053455798137,36.682269163667456,32.363260218252,32.363260218252,-0.008679058138340781,-0.008679058138340781,-0.008679058138340781,0.047862578203863616,0.047862578203863616,0.047862578203863616,0.03918352006552284,0.03918352006552284,0.03918352006552284,-0.7539511865140011,-0.7539511865140011,-0.7539511865140011,-0.7931347065795239,-0.7931347065795239,-0.7931347065795239,0.0,0.0,0.0,7.962941777239537
5,2008-06-03,32.45553919638534,-19.32157071041863,34.69051476693443,32.45553919638534,32.45553919638534,-0.012190677089021664,-0.012190677089021664,-0.012190677089021664,0.06295279902204194,0.06295279902204194,0.06295279902204194,0.05076212193302028,0.05076212193302028,0.05076212193302028,-0.754564357896571,-0.754564357896571,-0.754564357896571,-0.8053264798295913,-0.8053264798295913,-0.8053264798295913,0.0,0.0,0.0,7.965746102477845
6,2008-06-10,32.547818174518675,-16.183616044231822,39.423011134295095,32.547818174518675,32.547818174518675,-0.009151411847372167,-0.009151411847372167,-0.009151411847372167,0.10244606255281735,0.10244606255281735,0.10244606255281735,0.09329465070544518,0.09329465070544518,0.09329465070544518,-0.6533280217993205,-0.6533280217993205,-0.6533280217993205,-0.7466226725047657,-0.7466226725047657,-0.7466226725047657,0.0,0.0,0.0,11.28341651267642
7,2008-06-17,32.640097152652025,-12.786525338629081,43.33692745600824,32.6109913156507,33.11349063166104,-0.00627677085103671,-0.00627677085103671,-0.00627677085103671,0.1760863399982485,0.1760863399982485,0.1760863399982485,0.1698095691472118,0.1698095691472118,0.1698095691472118,-0.47186926035904186,-0.47186926035904186,-0.47186926035904186,-0.6416788295062537,-0.6416788295062537,-0.6416788295062537,0.0,0.0,0.0,17.238238651182847
8,2008-06-24,32.73237613078536,-7.588252047488062,49.14926854601028,32.22022189268424,33.57798953162314,-0.007039006839328377,-0.007039006839328377,-0.007039006839328377,0.18910704477954068,0.18910704477954068,0.18910704477954068,0.1820680379402123,0.1820680379402123,0.1820680379402123,-0.37442478757797165,-0.37442478757797165,-0.37442478757797165,-0.5564928255181839,-0.5564928255181839,-0.5564928255181839,0.0,0.0,0.0,20.476563151093785
9,2008-07-01,32.82465510891871,-6.939812676713183,49.24057971079921,31.83425714481214,34.23792885126286,0.0012409087476756343,0.0012409087476756343,0.0012409087476756343,0.18746867795974723,0.18746867795974723,0.18746867795974723,0.18870958670742286,0.18870958670742286,0.18870958670742286,-0.3279803819963953,-0.3279803819963953,-0.3279803819963953,-0.5166899687038181,-0.5166899687038181,-0.5166899687038181,0.0,0.0,0.0,22.058812187395624
